blocked_steps,chunk,final_dist,final_loss,head,latency_s,max_hz,nfe,seed,success,train_s,unseen_success
8.4375,1,0.7689316868782043,0.05778505653142929,regression,5.286406121740583e-07,1891644.2985480342,1,0,0.21875,84.12146370799746,0.171875
3.0859375,1,0.7098836898803711,1.3837344646453857,discrete bins,2.1725156784668798e-06,460295.8726197497,2,0,0.2109375,84.77574387499772,0.1953125
2.36328125,1,0.6916072368621826,0.1949232965707779,diffusion,4.781704683409771e-05,20913.043908159405,50,0,0.18359375,83.2131662920001,0.17578125
3.55859375,1,0.6588912010192871,0.333246648311615,flow (pi-0 style),3.9101562379073584e-06,255744.25653517648,5,0,0.26953125,82.50123504200019,0.23828125
8.203125,1,0.7615911364555359,0.05184714123606682,regression,5.403594514064025e-07,1850619.985265888,1,1,0.22265625,82.7490599169978,0.15625
1.43359375,1,0.6429427862167358,1.3713968992233276,discrete bins,2.107422005792614e-06,474513.4089192041,2,1,0.234375,84.10120183299296,0.1953125
2.9921875,1,0.6733686923980713,0.20489658415317535,diffusion,4.821159382117912e-05,20741.898799468952,50,1,0.23828125,82.58503754199774,0.1875
4.37109375,1,0.6370521187782288,0.283080130815506,flow (pi-0 style),3.966796839449671e-06,252092.56749804557,5,1,0.2734375,83.0019938750047,0.23828125
9.44921875,1,0.8049984574317932,0.05010368302464485,regression,5.221406809141627e-07,1915192.6608154767,1,2,0.2109375,82.70260720798979,0.1953125
2.05078125,1,0.6791986227035522,1.4127756357192993,discrete bins,2.115234337907168e-06,472760.8577825041,2,2,0.2890625,83.32009612501133,0.26171875
2.39453125,1,0.6459686160087585,0.22812555730342865,diffusion,4.770507803186774e-05,20962.129007146457,50,2,0.25390625,82.75989374998608,0.20703125
2.12109375,1,0.5966419577598572,0.2864851653575897,flow (pi-0 style),3.928375008399598e-06,254558.18191028442,5,2,0.296875,83.89067079100641,0.2734375
