chunk,head,latency_s,max_hz,nfe,seed,steps,success
1,diffusion,4.8361984227085486e-05,20677.398084091485,50,0,50,0.22265625
1,diffusion,9.399093642059597e-06,106393.23727185176,10,0,10,0.203125
1,diffusion,3.87240629606822e-06,258237.36548908424,4,0,4,0.25
1,flow (pi-0 style),3.973312459493172e-06,251679.17454132414,5,0,5,0.2578125
1,flow (pi-0 style),1.6210938156291377e-06,616867.4449059602,2,0,2,0.25390625
1,flow (pi-0 style),8.567656095692655e-07,1167180.368622341,1,0,1,0.23046875
1,diffusion,4.765300013787055e-05,20985.037607428312,50,1,50,0.23828125
1,diffusion,9.489593594480539e-06,105378.59077354304,10,1,10,0.22265625
1,diffusion,3.8600155676249415e-06,259066.31268207493,4,1,4,0.23828125
1,flow (pi-0 style),4.0117186017596396e-06,249269.72683512126,5,1,5,0.265625
1,flow (pi-0 style),1.6262968074443052e-06,614893.908309075,2,1,2,0.28515625
1,flow (pi-0 style),8.457029707642505e-07,1182448.252601399,1,1,1,0.31640625
1,diffusion,4.729687498183921e-05,21143.045928171246,50,2,50,0.28125
1,diffusion,9.534515584164183e-06,104882.09822226246,10,2,10,0.29296875
1,diffusion,3.902343678419129e-06,256256.26095677665,4,2,4,0.30078125
1,flow (pi-0 style),3.9394531086145435e-06,253842.3411648851,5,2,5,0.32421875
1,flow (pi-0 style),1.6022186173358932e-06,624134.5526634568,2,2,2,0.2734375
1,flow (pi-0 style),8.899687600205652e-07,1123634.946441145,1,2,1,0.30859375
