case,t,start_x,target_x,side,agent_x,agent_y,action_x,action_y,blocked,next_x,next_y
0,0,-0.25,-0.62,-1,-0.25,-0.77999997139,-0.246835380793,0.969057440758,0,-0.289493650198,-0.624950766563
1,0,-0.25,-0.62,1,-0.25,-0.77999997139,0.587717831135,0.809066057205,0,-0.155965149403,-0.650549411774
2,0,-0.25,0,-1,-0.25,-0.77999997139,-0.246835380793,0.969057440758,0,-0.289493650198,-0.624950766563
3,0,-0.25,0,1,-0.25,-0.77999997139,0.587717831135,0.809066057205,0,-0.155965149403,-0.650549411774
4,0,-0.25,0.62,-1,-0.25,-0.77999997139,-0.246835380793,0.969057440758,0,-0.289493650198,-0.624950766563
5,0,-0.25,0.62,1,-0.25,-0.77999997139,0.587717831135,0.809066057205,0,-0.155965149403,-0.650549411774
6,0,-0.125,-0.62,-1,-0.125,-0.77999997139,-0.349185109138,0.937053740025,0,-0.180869609118,-0.630071401596
7,0,-0.125,-0.62,1,-0.125,-0.77999997139,0.51981908083,0.854276359081,0,-0.0418289452791,-0.643315792084
8,0,-0.125,0,-1,-0.125,-0.77999997139,-0.349185109138,0.937053740025,0,-0.180869609118,-0.630071401596
9,0,-0.125,0,1,-0.125,-0.77999997139,0.51981908083,0.854276359081,0,-0.0418289452791,-0.643315792084
10,0,-0.125,0.62,-1,-0.125,-0.77999997139,-0.349185109138,0.937053740025,0,-0.180869609118,-0.630071401596
11,0,-0.125,0.62,1,-0.125,-0.77999997139,0.51981908083,0.854276359081,0,-0.0418289452791,-0.643315792084
12,0,0,-0.62,-1,0,-0.77999997139,-0.440425008535,0.897789478302,0,-0.0704680010676,-0.636353671551
13,0,0,-0.62,1,0,-0.77999997139,0.440425008535,0.897789478302,0,0.0704680010676,-0.636353671551
14,0,0,0,-1,0,-0.77999997139,-0.440425008535,0.897789478302,0,-0.0704680010676,-0.636353671551
15,0,0,0,1,0,-0.77999997139,0.440425008535,0.897789478302,0,0.0704680010676,-0.636353671551
16,0,0,0.62,-1,0,-0.77999997139,-0.440425008535,0.897789478302,0,-0.0704680010676,-0.636353671551
17,0,0,0.62,1,0,-0.77999997139,0.440425008535,0.897789478302,0,0.0704680010676,-0.636353671551
18,0,0.125,-0.62,-1,0.125,-0.77999997139,-0.51981908083,0.854276359081,0,0.0418289452791,-0.643315792084
19,0,0.125,-0.62,1,0.125,-0.77999997139,0.349185109138,0.937053740025,0,0.180869609118,-0.630071401596
20,0,0.125,0,-1,0.125,-0.77999997139,-0.51981908083,0.854276359081,0,0.0418289452791,-0.643315792084
21,0,0.125,0,1,0.125,-0.77999997139,0.349185109138,0.937053740025,0,0.180869609118,-0.630071401596
22,0,0.125,0.62,-1,0.125,-0.77999997139,-0.51981908083,0.854276359081,0,0.0418289452791,-0.643315792084
23,0,0.125,0.62,1,0.125,-0.77999997139,0.349185109138,0.937053740025,0,0.180869609118,-0.630071401596
24,0,0.25,-0.62,-1,0.25,-0.77999997139,-0.587717831135,0.809066057205,0,0.155965149403,-0.650549411774
25,0,0.25,-0.62,1,0.25,-0.77999997139,0.246835380793,0.969057440758,0,0.289493650198,-0.624950766563
26,0,0.25,0,-1,0.25,-0.77999997139,-0.587717831135,0.809066057205,0,0.155965149403,-0.650549411774
27,0,0.25,0,1,0.25,-0.77999997139,0.246835380793,0.969057440758,0,0.289493650198,-0.624950766563
28,0,0.25,0.62,-1,0.25,-0.77999997139,-0.587717831135,0.809066057205,0,0.155965149403,-0.650549411774
29,0,0.25,0.62,1,0.25,-0.77999997139,0.246835380793,0.969057440758,0,0.289493650198,-0.624950766563
0,1,-0.25,-0.62,-1,-0.289493650198,-0.624950766563,-0.246835395694,0.969057440758,0,-0.328987300396,-0.469901561737
1,1,-0.25,-0.62,1,-0.155965149403,-0.650549411774,0.587717711926,0.809065937996,0,-0.061930321157,-0.521098852158
2,1,-0.25,0,-1,-0.289493650198,-0.624950766563,-0.246835395694,0.969057440758,0,-0.328987300396,-0.469901561737
3,1,-0.25,0,1,-0.155965149403,-0.650549411774,0.587717711926,0.809065937996,0,-0.061930321157,-0.521098852158
4,1,-0.25,0.62,-1,-0.289493650198,-0.624950766563,-0.246835395694,0.969057440758,0,-0.328987300396,-0.469901561737
5,1,-0.25,0.62,1,-0.155965149403,-0.650549411774,0.587717711926,0.809065937996,0,-0.061930321157,-0.521098852158
6,1,-0.125,-0.62,-1,-0.180869609118,-0.630071401596,-0.349185109138,0.937053740025,0,-0.236739218235,-0.480142802
7,1,-0.125,-0.62,1,-0.0418289452791,-0.643315792084,0.519819140434,0.854276418686,0,0.0413421168923,-0.506631553173
8,1,-0.125,0,-1,-0.180869609118,-0.630071401596,-0.349185109138,0.937053740025,0,-0.236739218235,-0.480142802
9,1,-0.125,0,1,-0.0418289452791,-0.643315792084,0.519819140434,0.854276418686,0,0.0413421168923,-0.506631553173
10,1,-0.125,0.62,-1,-0.180869609118,-0.630071401596,-0.349185109138,0.937053740025,0,-0.236739218235,-0.480142802
11,1,-0.125,0.62,1,-0.0418289452791,-0.643315792084,0.519819140434,0.854276418686,0,0.0413421168923,-0.506631553173
12,1,0,-0.62,-1,-0.0704680010676,-0.636353671551,-0.440424948931,0.897789359093,0,-0.140935987234,-0.492707371712
13,1,0,-0.62,1,0.0704680010676,-0.636353671551,0.440424948931,0.897789359093,0,0.140935987234,-0.492707371712
14,1,0,0,-1,-0.0704680010676,-0.636353671551,-0.440424948931,0.897789359093,0,-0.140935987234,-0.492707371712
15,1,0,0,1,0.0704680010676,-0.636353671551,0.440424948931,0.897789359093,0,0.140935987234,-0.492707371712
16,1,0,0.62,-1,-0.0704680010676,-0.636353671551,-0.440424948931,0.897789359093,0,-0.140935987234,-0.492707371712
17,1,0,0.62,1,0.0704680010676,-0.636353671551,0.440424948931,0.897789359093,0,0.140935987234,-0.492707371712
18,1,0.125,-0.62,-1,0.0418289452791,-0.643315792084,-0.519819140434,0.854276418686,0,-0.0413421168923,-0.506631553173
19,1,0.125,-0.62,1,0.180869609118,-0.630071401596,0.349185109138,0.937053740025,0,0.236739218235,-0.480142802
20,1,0.125,0,-1,0.0418289452791,-0.643315792084,-0.519819140434,0.854276418686,0,-0.0413421168923,-0.506631553173
21,1,0.125,0,1,0.180869609118,-0.630071401596,0.349185109138,0.937053740025,0,0.236739218235,-0.480142802
22,1,0.125,0.62,-1,0.0418289452791,-0.643315792084,-0.519819140434,0.854276418686,0,-0.0413421168923,-0.506631553173
23,1,0.125,0.62,1,0.180869609118,-0.630071401596,0.349185109138,0.937053740025,0,0.236739218235,-0.480142802
24,1,0.25,-0.62,-1,0.155965149403,-0.650549411774,-0.587717711926,0.809065937996,0,0.061930321157,-0.521098852158
25,1,0.25,-0.62,1,0.289493650198,-0.624950766563,0.246835395694,0.969057440758,0,0.328987300396,-0.469901561737
26,1,0.25,0,-1,0.155965149403,-0.650549411774,-0.587717711926,0.809065937996,0,0.061930321157,-0.521098852158
27,1,0.25,0,1,0.289493650198,-0.624950766563,0.246835395694,0.969057440758,0,0.328987300396,-0.469901561737
28,1,0.25,0.62,-1,0.155965149403,-0.650549411774,-0.587717711926,0.809065937996,0,0.061930321157,-0.521098852158
29,1,0.25,0.62,1,0.289493650198,-0.624950766563,0.246835395694,0.969057440758,0,0.328987300396,-0.469901561737
0,2,-0.25,-0.62,-1,-0.328987300396,-0.469901561737,-0.246835410595,0.969057440758,0,-0.368480980396,-0.314852356911
1,2,-0.25,-0.62,1,-0.061930321157,-0.521098852158,0.58771777153,0.809065997601,0,0.0321045219898,-0.391648292542
2,2,-0.25,0,-1,-0.328987300396,-0.469901561737,-0.246835410595,0.969057440758,0,-0.368480980396,-0.314852356911
3,2,-0.25,0,1,-0.061930321157,-0.521098852158,0.58771777153,0.809065997601,0,0.0321045219898,-0.391648292542
4,2,-0.25,0.62,-1,-0.328987300396,-0.469901561737,-0.246835410595,0.969057440758,0,-0.368480980396,-0.314852356911
5,2,-0.25,0.62,1,-0.061930321157,-0.521098852158,0.58771777153,0.809065997601,0,0.0321045219898,-0.391648292542
6,2,-0.125,-0.62,-1,-0.236739218235,-0.480142802,-0.349185109138,0.937053740025,0,-0.292608827353,-0.330214202404
7,2,-0.125,-0.62,1,0.0413421168923,-0.506631553173,0.51981908083,0.854276418686,0,0.124513171613,-0.369947314262
8,2,-0.125,0,-1,-0.236739218235,-0.480142802,-0.349185109138,0.937053740025,0,-0.292608827353,-0.330214202404
9,2,-0.125,0,1,0.0413421168923,-0.506631553173,0.51981908083,0.854276418686,0,0.124513171613,-0.369947314262
10,2,-0.125,0.62,-1,-0.236739218235,-0.480142802,-0.349185109138,0.937053740025,0,-0.292608827353,-0.330214202404
11,2,-0.125,0.62,1,0.0413421168923,-0.506631553173,0.51981908083,0.854276418686,0,0.124513171613,-0.369947314262
